num_gpu,job_id,duration,submit_time,interval,model_name
1,application_1506638472019_7331,2522,11328,0,inception3
1,application_1506638472019_7332,2424,11328,0,resnet101
1,application_1506638472019_7333,2456,11328,0,resnet50
1,application_1506638472019_7334,2460,11328,0,resnet50
1,application_1506638472019_7335,2657,11328,0,inception4
1,application_1506638472019_7336,2499,11328,0,alexnet
1,application_1506638472019_7337,2446,11328,0,vgg16
1,application_1506638472019_7338,4432,11329,0,vgg16
1,application_1506638472019_7339,2555,11329,0,resnet50
1,application_1506638472019_7340,2435,11329,0,alexnet
1,application_1506638472019_7341,2634,11329,0,vgg11
1,application_1506638472019_7342,2501,11329,0,alexnet
1,application_1506638472019_7343,2538,11329,0,alexnet
1,application_1506638472019_7344,2467,11329,0,resnet50
1,application_1506638472019_7345,2639,11329,8,resnet50
8,application_1506638472019_7349,835,11338,1,vgg19
1,application_1506638472019_7350,66,11339,10,inception4
1,application_1506638472019_7352,73,11349,2,inception4
8,application_1506638472019_7353,46514,11352,6,resnet50
1,application_1506638472019_7356,3826,11359,0,resnet50
1,application_1506638472019_7358,71,11359,2,inception4
1,application_1506638472019_7360,4379,11362,0,inception4
1,application_1506638472019_7361,4324,11362,0,resnet50
1,application_1506638472019_7362,4380,11362,0,vgg16
1,application_1506638472019_7363,4405,11362,0,alexnet
1,application_1506638472019_7364,4358,11362,0,alexnet
1,application_1506638472019_7365,4362,11362,0,alexnet
1,application_1506638472019_7366,4392,11362,0,vgg11
1,application_1506638472019_7367,4414,11362,0,vgg19
1,application_1506638472019_7368,4429,11362,0,alexnet
1,application_1506638472019_7369,4393,11363,0,vgg19
1,application_1506638472019_7370,3968,11363,0,alexnet
1,application_1506638472019_7371,4336,11363,0,vgg11
1,application_1506638472019_7372,4365,11363,0,inception3
1,application_1506638472019_7373,4448,11363,0,resnet101
1,application_1506638472019_7374,4396,11363,0,resnet50
1,application_1506638472019_7375,4441,11363,0,resnet101
1,application_1506638472019_7376,4430,11363,0,resnet50
1,application_1506638472019_7377,4396,11364,0,vgg16
1,application_1506638472019_7378,3990,11364,0,vgg16
1,application_1506638472019_7380,2514,11364,0,vgg16
1,application_1506638472019_7379,2479,11364,0,vgg11
1,application_1506638472019_7381,2583,11364,0,vgg16
1,application_1506638472019_7384,2557,11364,0,resnet50
1,application_1506638472019_7383,2504,11364,0,vgg16
1,application_1506638472019_7382,2445,11364,0,resnet101
1,application_1506638472019_7385,2551,11364,0,vgg11
1,application_1506638472019_7386,2571,11364,0,inception3
1,application_1506638472019_7387,2571,11364,0,resnet50
1,application_1506638472019_7388,2581,11365,0,vgg19
1,application_1506638472019_7389,2449,11365,0,resnet50
1,application_1506638472019_7390,4461,11365,0,vgg11
1,application_1506638472019_7391,4422,11365,0,inception3
1,application_1506638472019_7392,4124,11365,0,inception4
1,application_1506638472019_7393,4116,11365,0,vgg19
1,application_1506638472019_7394,4078,11365,0,inception4
1,application_1506638472019_7395,4105,11365,0,alexnet
1,application_1506638472019_7396,2642,11365,0,resnet50
1,application_1506638472019_7397,2420,11365,0,vgg11
1,application_1506638472019_7398,2438,11365,0,inception3
1,application_1506638472019_7399,2736,11365,0,inception3
1,application_1506638472019_7400,4362,11366,0,resnet50
1,application_1506638472019_7401,2573,11366,0,resnet101
1,application_1506638472019_7402,2564,11366,0,alexnet
1,application_1506638472019_7403,2510,11366,0,resnet50
1,application_1506638472019_7404,2476,11366,0,resnet101
1,application_1506638472019_7405,2506,11366,0,inception3
1,application_1506638472019_7406,2447,11366,0,vgg11
1,application_1506638472019_7407,4443,11366,0,alexnet
1,application_1506638472019_7408,2536,11366,0,vgg11
1,application_1506638472019_7409,2673,11367,0,resnet50
1,application_1506638472019_7410,2633,11367,0,inception3
1,application_1506638472019_7411,4362,11367,0,vgg11
1,application_1506638472019_7412,2575,11367,0,vgg11
