time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
217050,0,0,0,0,0,6317,114,3568
217065,0,0,0,0,0,6315,115,3569
217071,0,0,0,0,0,6314,115,3570
217139,0,0,0,0,0,6313,115,3571
217142,0,0,0,0,0,6312,115,3572
217157,0,0,0,0,0,6311,115,3573
217191,0,0,0,0,0,6310,115,3574
217205,0,0,0,0,0,6309,115,3575
217226,0,0,0,0,0,6308,115,3576
217234,0,0,0,0,0,6307,115,3577
217250,0,0,0,0,0,6306,115,3578
217269,0,0,0,0,0,6305,115,3579
217302,0,0,0,0,0,6304,115,3580
217315,0,0,0,0,0,6303,115,3581
217328,0,0,0,0,0,6302,115,3582
217336,0,0,0,0,0,6301,115,3583
217368,0,0,0,0,0,6300,115,3584
217369,0,0,0,0,0,6299,115,3585
217376,0,0,0,0,0,6298,115,3586
217395,0,0,0,0,0,6298,114,3587
217409,0,0,0,0,0,6296,115,3588
217439,0,0,0,0,0,6295,115,3589
217458,0,0,0,0,0,6294,115,3590
217480,0,0,0,0,0,6293,115,3591
217491,0,0,0,0,0,6292,115,3592
217512,0,0,0,0,0,6291,115,3593
217525,0,0,0,0,0,6290,115,3594
217542,0,0,0,0,0,6289,115,3595
217571,0,0,0,0,0,6288,115,3596
217582,0,0,0,0,0,6287,115,3597
217586,0,0,0,0,0,6286,115,3598
217605,0,0,0,0,0,6285,115,3599
217627,0,0,0,0,0,6284,115,3600
217696,0,0,0,0,0,6283,115,3601
217771,0,0,0,0,0,6282,115,3602
217809,0,0,0,0,0,6281,115,3603
217887,0,0,0,0,0,6280,115,3604
217917,0,0,0,0,0,6279,115,3605
217942,0,0,0,0,0,6278,115,3606
217952,0,0,0,0,0,6277,115,3607
217959,0,0,0,0,0,6276,115,3608
218008,0,0,0,0,0,6275,115,3609
218024,0,0,0,0,0,6274,115,3610
218035,0,0,0,0,0,6273,115,3611
218046,0,0,0,0,0,6272,115,3612
218072,0,0,0,0,0,6274,112,3613
218134,0,0,0,0,0,6273,112,3614
218141,0,0,0,0,0,6272,112,3615
218196,0,0,0,0,0,6268,115,3616
218201,0,0,0,0,0,6267,115,3617
218269,0,0,0,0,0,6266,115,3618
218296,0,0,0,0,0,6265,115,3619
218523,0,0,0,0,0,6264,115,3620
218675,0,0,0,0,0,6263,115,3621
218791,0,0,0,0,0,6262,115,3622
218843,0,0,0,0,0,6261,115,3623
218978,0,0,0,0,0,6260,115,3624
219113,0,0,0,0,0,6259,115,3625
219181,0,0,0,0,0,6258,115,3626
